"Class","PCA dimension 0","PCA dimension 1","PCA dimension 2","PCA dimension 3","PCA dimension 4","PCA dimension 5","PCA dimension 6","PCA dimension 7","PCA dimension 8","PCA dimension 9","PCA dimension 10","PCA dimension 11","PCA dimension 12","PCA dimension 13","PCA dimension 14","PCA dimension 15","PCA dimension 16","PCA dimension 17","PCA dimension 18","PCA dimension 19","PCA dimension 20","PCA dimension 21","PCA dimension 22","PCA dimension 23","PCA dimension 24","PCA dimension 25","PCA dimension 26","PCA dimension 27","PCA dimension 28","PCA dimension 29","PCA dimension 30","PCA dimension 31"
"T",-1.2241906814127708,-1.4140260486566867,1.5059301913070864,1.5984477378091444,0.23411403447754786,-1.7479256488676498,-0.9897086052794725,0.9257139734202948,0.9648135913244835,-1.691701850869127,-1.334368734209429,-0.28656615324439383,-0.09853639246013102,1.1641242890125232,-0.4083898564320805,-0.8924274499837959,-0.09135157169869626,-0.2558635952202089,-0.45219399762731133,-0.3145687079483246,0.017901372511790768,0.12027196196234644,0.336519104676857,-0.21791644214267158,-0.12748884024977358,0.38030581910060696,-0.20116878562429777,0.31742867358763205,-0.752867997308424,-0.009484689477044395,0.16340451043497872,-0.10108018214969966
"F",0.44307826113702664,1.6970934755700622,1.1044062839165234,-0.9543373108698857,-0.382367653105167,0.385598546696012,1.50481098438673,-0.5044148151230501,-0.8006062371047213,-0.9886595923162189,0.13145494259896054,0.7017385535749897,0.857326107890135,0.41934565250144196,-0.6411184902689486,0.6566840698215228,-0.4047934204379454,-0.5541491701324073,0.43669126939688263,-1.0999849956144865,0.5757770211270089,-0.25545171665791017,0.06623652980296989,0.358820615373902,-0.2988234835255478,0.3976853811955859,-0.37837668284763354,0.13546427341228076,0.7868706052512225,-0.018158649516977807,-0.33921536544330944,0.47509073030607746
"F",-0.2751425469321391,-0.5330147662355107,-2.5163706463424984,1.1000120438700616,0.9136696297205544,-1.018382063589616,1.0065232927648422,1.0223463747945782,-1.9760546249002902,-1.80002562144085,0.8685023575229821,1.230189073518724,-0.415383643763272,1.2162147355510529,1.6098392821715952,-0.5774438420030393,-0.3511984325243974,-1.0466351266584186,-0.002308012021569387,0.19902459728735633,-0.667811820976997,0.6158899198755382,-0.78515998957849,0.24819674980252482,0.7332260001016254,-0.1409846038642147,0.8144216428804159,0.07580256099258886,-0.22702052290795185,-0.49572908151139417,0.3764445692177797,0.20339529440883664
"F",4.0548840721646515,-0.9325236365478883,-0.48006875086057543,-0.016263033081794956,1.8398000117677484,0.5941277471963712,0.130383778930331,-0.913168304865627,-2.4502630418301683,1.277315987348638,2.3477734249423823,-0.3291584106328494,-0.7822591276125601,0.6334755482024346,0.9155454641718391,0.11633147480621217,-0.6495026311584957,1.252907937504674,-0.3404027644943984,0.33871092503436123,0.13316092718486358,0.2379728487516606,0.5071462606830207,-0.769362337821205,-0.5697148314714957,0.029678220644597266,-0.3007411994028052,0.009208514956137837,-0.26566070925420215,0.350856356923395,-0.18538121592187112,0.4405284781934606
"T",-1.5087972403402112,1.9122953555089723,4.052581131348378,0.6567999160794802,-0.7904736693202075,-0.7403311711253978,-0.9943448405406307,-0.30608671311951446,-0.6444354680396268,0.8728808767213272,0.7051591809941317,-0.6685397239620405,-0.28289544594398236,0.4719271739297398,-0.3482639574746169,-0.10691766912566476,-0.40276111750160365,-0.46301130040111554,-0.4060862169069137,-0.6666827830977171,0.4086229197944864,-0.8212186869410076,0.017113993057369825,-0.5886082379142805,-0.3782038331598433,0.04833289848800055,0.7802506572704555,-0.4040336047134853,-0.7271723313064095,0.014106130151725293,-0.07420328733625364,0.3004070976447921
"F",2.2679483700988983,1.6366872873476481,-1.3038191839628313,1.5885352628509457,-1.2206648650442218,-3.736068687056517,-1.0163215980780964,1.5196485356502127,-1.039377547074066,0.6487241227042075,-0.26496328984868056,0.8003207879102322,-0.2650039064540198,-0.40536462815476104,1.3377296414211075,0.9244524208608984,0.045351487070611325,0.05875750500968367,0.9595768541413845,-0.8475500722154745,-0.12445880500746706,-0.9893963502543113,0.044265316541233,-0.3696026379420324,-0.6567090941870268,-0.21234115739825005,-0.4343708150076312,0.29342683092194044,-0.2619429887026971,-0.8817318730528516,-0.2591216263406535,0.21738164652206682
"T",-3.9667072822173743,3.6973100939697963,-0.08276401882677113,-0.13730787116535279,-2.2515675211400437,1.5960160622309096,0.5255005229056725,0.4715056947557731,-1.7622518789003259,0.008646771985745344,-0.19152822829363722,-0.003020341443888904,-0.9201704387730238,-0.14887523901273653,1.1256553381925216,-0.9286545854305298,0.5375102122151836,-0.6175664254526029,-0.7673359159302772,-0.038085427812262845,-0.242596778462263,-0.02114899386604823,0.5448416903165927,0.5660687522952038,0.29354968544279686,0.9500198373728106,-0.2979732862201027,0.5204765802598624,0.39409362486719796,0.6795200903499568,0.00490749681902708,0.10094975649368551
"T",-0.9597903412510117,-0.36890802291191155,0.23629017882384185,-0.3521904633197152,0.9897236963738523,-0.9317275593930514,0.7919376965810662,0.5646043390111624,-0.8427503558164956,0.8544673640918462,0.6342602400463166,-0.47622280780177545,0.8256451883663612,-1.142544207325592,-0.9199271913186865,0.6095857446084163,0.7586382331873169,1.6061285203212783,-0.06949450421371002,0.19159359863363862,-1.2261595605524145,-0.5209583704235351,0.00626547871932575,-0.2221870479208917,-0.029552595754036213,-0.09154697895465932,0.30183600009550215,-0.28656379512681507,0.5336807008497305,-0.1985308415314278,-0.2715626949594254,-0.4405786904492758
"T",0.1963296071625984,-0.13992272253668656,0.3749787037644569,-0.5334132514157213,0.890317331072307,-2.6247720672970214,2.2438159069255947,1.7470142539817186,0.02475521464836925,1.3410557871605837,0.5605293813504476,-1.1566090130037172,0.8470045188516231,-1.7316448288654935,-0.40962136304761537,0.0893535062096185,-0.809464314588544,-2.02499385748595,-0.8781192395395957,-0.34623625416925163,-0.17357120471304896,-0.34893673429837185,-0.6486863011735614,0.6173758216783864,-0.5489807173060592,-0.08111463975334794,-0.7452238302102986,-0.20491719923082646,0.017861382239876655,0.3824675959777721,-0.3760349174961911,-0.09663651661276428
"F",-2.0702713671614963,0.41913785493294714,-1.2228329014585355,-3.2961088018282214,0.3983623055753628,-0.36063957148171555,0.6112287135287504,0.48679711978606705,-1.0921413093837318,-1.954112062972892,-1.2270165770818298,-0.9813410259820868,-0.7364863613032626,0.5003344603024333,-0.10581812112962136,1.652752905298264,1.0096269118562788,-0.7848693486989582,-0.4357119251532776,0.06902205769863781,0.20435033996561836,0.9264325798615916,0.8880202984449266,0.44349384037335204,-0.514893576592806,0.6134341070154392,0.23697330707690772,-0.07109746867901129,-0.35807826553540184,-0.25506859126246545,-0.21830907343739236,0.2046952794852901
